T[168]: -0.000003, -0.000349 i
T[169]: -0.000003, -0.000347 i
T[170]: -0.000003, -0.000345 i
T[171]: -0.000002, -0.000344 i
T[172]: -0.000002, -0.000343 i
T[173]: -0.000001, -0.000342 i
T[174]: -0.000001, -0.000341 i
T[175]: -0.000001, -0.000340 i
T[176]: -0.000000, -0.000340 i
T[177]: 0.000000, -0.000340 i
T[178]: 0.000001, -0.000340 i
T[179]: 0.000001, -0.000341 i
T[180]: 0.000001, -0.000341 i
T[181]: 0.000002, -0.000342 i
T[182]: 0.000002, -0.000343 i
T[183]: 0.000003, -0.000345 i
T[184]: 0.000003, -0.000347 i
T[185]: 0.000004, -0.000349 i
T[186]: 0.000005, -0.000351 i
T[187]: 0.000005, -0.000353 i
T[188]: 0.000006, -0.000356 i
T[189]: 0.000007, -0.000359 i
T[190]: 0.000007, -0.000363 i
T[191]: 0.000008, -0.000366 i
T[192]: 0.000009, -0.000370 i
T[193]: 0.000010, -0.000375 i
T[194]: 0.000011, -0.000380 i
T[195]: 0.000012, -0.000385 i
T[196]: 0.000013, -0.000391 i
T[197]: 0.000014, -0.000397 i
T[198]: 0.000015, -0.000403 i
T[199]: 0.000016, -0.000410 i
T[200]: 0.000018, -0.000418 i
T[201]: 0.000019, -0.000426 i
T[202]: 0.000021, -0.000435 i
T[203]: 0.000023, -0.000444 i
T[204]: 0.000025, -0.000455 i
T[205]: 0.000027, -0.000466 i
T[206]: 0.000030, -0.000478 i
T[207]: 0.000032, -0.000491 i
T[208]: 0.000036, -0.000505 i
T[209]: 0.000039, -0.000520 i
T[210]: 0.000043, -0.000537 i
T[211]: 0.000047, -0.000555 i
T[212]: 0.000052, -0.000574 i
T[213]: 0.000058, -0.000596 i
T[214]: 0.000064, -0.000619 i
T[215]: 0.000072, -0.000645 i
T[216]: 0.000080, -0.000674 i
T[217]: 0.000090, -0.000705 i
T[218]: 0.000102, -0.000740 i
T[219]: 0.000116, -0.000780 i
T[220]: 0.000132, -0.000824 i
T[221]: 0.000153, -0.000873 i
T[222]: 0.000177, -0.000929 i
T[223]: 0.000208, -0.000994 i
T[224]: 0.000246, -0.001067 i
T[225]: 0.000295, -0.001152 i
T[226]: 0.000358, -0.001251 i
T[227]: 0.000443, -0.001366 i
T[228]: 0.000558, -0.001500 i
T[229]: 0.000718, -0.001654 i
T[230]: 0.000949, -0.001828 i
T[231]: 0.001287, -0.002007 i
T[232]: 0.001788, -0.002149 i
T[233]: 0.002510, -0.002135 i
T[234]: 0.003411, -0.001726 i
T[235]: 0.004131, -0.000693 i
T[236]: 0.004101, 0.000676 i
T[237]: 0.003366, 0.001657 i
T[238]: 0.002495, 0.002035 i
T[239]: 0.001806, 0.002049 i
T[240]: 0.001324, 0.001921 i
T[241]: 0.000996, 0.001756 i
T[242]: 0.000769, 0.001595 i
T[243]: 0.000609, 0.001451 i
T[244]: 0.000493, 0.001326 i
T[245]: 0.000406, 0.001217 i
T[246]: 0.000340, 0.001124 i
T[247]: 0.000289, 0.001043 i
T[248]: 0.000248, 0.000973 i
T[249]: 0.000216, 0.000911 i
T[250]: 0.000189, 0.000857 i
T[251]: 0.000167, 0.000809 i
T[252]: 0.000148, 0.000767 i
T[253]: 0.000133, 0.000729 i
T[254]: 0.000120, 0.000695 i
T[255]: 0.000108, 0.000664 i
T[256]: 0.000098, 0.000637 i
T[257]: 0.000090, 0.000611 i
T[258]: 0.000082, 0.000589 i
T[259]: 0.000075, 0.000568 i
T[260]: 0.000069, 0.000548 i
T[261]: 0.000064, 0.000531 i
T[262]: 0.000059, 0.000515 i
T[263]: 0.000055, 0.000500 i
T[264]: 0.000051, 0.000486 i
T[265]: 0.000047, 0.000473 i
T[266]: 0.000044, 0.000462 i
T[267]: 0.000041, 0.000451 i
T[268]: 0.000038, 0.000441 i
T[269]: 0.000036, 0.000431 i
T[270]: 0.000033, 0.000423 i
T[271]: 0.000031, 0.000415 i
T[272]: 0.000029, 0.000407 i
T[273]: 0.000027, 0.000400 i
T[274]: 0.000025, 0.000394 i
T[275]: 0.000024, 0.000388 i
T[276]: 0.000022, 0.000382 i
T[277]: 0.000021, 0.000377 i
T[278]: 0.000019, 0.000372 i
T[279]: 0.000018, 0.000368 i
T[280]: 0.000016, 0.000364 i
T[281]: 0.000015, 0.000360 i
T[282]: 0.000014, 0.000357 i
T[283]: 0.000013, 0.000354 i
T[284]: 0.000011, 0.000351 i
T[285]: 0.000010, 0.000349 i
T[286]: 0.000009, 0.000346 i
T[287]: 0.000008, 0.000345 i
T[288]: 0.000007, 0.000343 i
T[289]: 0.000006, 0.000341 i
T[290]: 0.000005, 0.000340 i
T[291]: 0.000004, 0.000339 i
T[292]: 0.000003, 0.000339 i
T[293]: 0.000002, 0.000338 i
T[294]: 0.000000, 0.000338 i
T[295]: -0.000001, 0.000338 i
T[296]: -0.000002, 0.000338 i
T[297]: -0.000003, 0.000339 i
T[298]: -0.000004, 0.000339 i
T[299]: -0.000005, 0.000340 i
T[300]: -0.000007, 0.000341 i
T[301]: -0.000008, 0.000343 i
T[302]: -0.000009, 0.000344 i
T[303]: -0.000010, 0.000346 i
T[304]: -0.000012, 0.000349 i
T[305]: -0.000013, 0.000351 i
T[306]: -0.000015, 0.000354 i
